0                    0
0.0588235            0.0277703
0.117647             0.0686591
0.176471             0.142184
0.235294             0.258619
0.294118             0.413836
0.352941             0.584519
0.411765             0.737266
0.470588             0.846226
0.529412             0.901118
0.588235             0.901098
0.647059             0.846125
0.705882             0.73689
0.764706             0.583238
0.823529             0.409827
0.882353             0.247192
0.941176             0.112777
1                    0
