0                    0
0.0588235            0.0568581
0.117647             0.111741
0.176471             0.163135
0.235294             0.209391
0.294118             0.24898
0.352941             0.280534
0.411765             0.302901
0.470588             0.315192
0.529412             0.316832
0.588235             0.307599
0.647059             0.287655
0.705882             0.257561
0.764706             0.218273
0.823529             0.171117
0.882353             0.117745
0.941176             0.0600712
1                    0
