0                    0
0.047619             0.0652015
0.0952381            0.129444
0.142857             0.19173
0.190476             0.250998
0.238095             0.30611
0.285714             0.355857
0.333333             0.398995
0.380952             0.434292
0.428571             0.460599
0.47619              0.476914
0.52381              0.482463
0.571429             0.476751
0.619048             0.459612
0.666667             0.43123
0.714286             0.392143
0.761905             0.343221
0.809524             0.285637
0.857143             0.22082
0.904762             0.150402
0.952381             0.0761675
1                    0
