0                    0
0.0588235            0.0571367
0.117647             0.112319
0.176471             0.164051
0.235294             0.210691
0.294118             0.250701
0.352941             0.282694
0.411765             0.305482
0.470588             0.318138
0.529412             0.320045
0.588235             0.310946
0.647059             0.290976
0.705882             0.260683
0.764706             0.221022
0.823529             0.173335
0.882353             0.119301
0.941176             0.0608741
1                    0
