0                    0
0.047619             0.0471395
0.0952381            0.0933136
0.142857             0.13757
0.190476             0.178984
0.238095             0.216672
0.285714             0.249807
0.333333             0.277638
0.380952             0.299509
0.428571             0.314872
0.47619              0.323312
0.52381              0.324558
0.571429             0.318499
0.619048             0.305195
0.666667             0.284878
0.714286             0.257957
0.761905             0.225008
0.809524             0.186766
0.857143             0.144106
0.904762             0.0980228
0.952381             0.0496035
1                    0
