0                    0
0.047619             0.0560561
0.0952381            0.111068
0.142857             0.163991
0.190476             0.213789
0.238095             0.259439
0.285714             0.299947
0.333333             0.33437
0.380952             0.361844
0.428571             0.381611
0.47619              0.393059
0.52381              0.395747
0.571429             0.389436
0.619048             0.374109
0.666667             0.349987
0.714286             0.317528
0.761905             0.277421
0.809524             0.230575
0.857143             0.178089
0.904762             0.121225
0.952381             0.0613708
1                    0
